DATE,WLEMUINDXD
2010-02-24,11.38
2010-02-25,10.36
2010-02-26,6.19
2010-02-27,37.6
2010-02-28,31.17
2010-03-01,28.76
2010-03-02,22.61
2010-03-03,11.59
2010-03-04,9.92
2010-03-05,6.11
2010-03-06,37.96
2010-03-07,7.96
2010-03-08,9.44
2010-03-09,37.88
2010-03-10,46.93
2010-03-11,39.3
2010-03-12,48.32
2010-03-13,38.9
2010-03-14,7.99
2010-03-15,9.77
2010-03-16,7.71
2010-03-17,5.98
2010-03-18,39.34
2010-03-19,37.12
2010-03-20,68.79
2010-03-21,32.78
2010-03-22,130.09
2010-03-23,39.02
2010-03-24,18.33
2010-03-25,24.86
2010-03-26,12.7
2010-03-27,79.77
2010-03-28,23.69
2010-03-29,29.96
2010-03-30,7.89
2010-03-31,62.1
2010-04-01,82.38
2010-04-02,12.85
2010-04-03,145.65
2010-04-04,16.86
2010-04-05,30.99
2010-04-06,15.23
2010-04-07,6.0
2010-04-08,4.99
2010-04-09,25.06
2010-04-10,29.7
2010-04-11,40.82
2010-04-12,29.99
2010-04-13,37.91
2010-04-14,18.18
2010-04-15,28.93
2010-04-16,74.0
2010-04-17,66.76
2010-04-18,33.04
2010-04-19,49.01
2010-04-20,57.51
2010-04-21,5.88
2010-04-22,4.9
2010-04-23,11.99
2010-04-24,48.26
2010-04-25,24.23
2010-04-26,28.02
2010-04-27,28.44
2010-04-28,11.15
2010-04-29,9.59
2010-04-30,11.98
2010-05-01,18.99
2010-05-02,16.07
2010-05-03,58.63
2010-05-04,52.35
2010-05-05,51.39
2010-05-06,101.92
2010-05-07,136.22
2010-05-08,147.09
2010-05-09,40.33
2010-05-10,29.37
2010-05-11,22.22
2010-05-12,45.45
2010-05-13,4.8
2010-05-14,5.98
2010-05-15,57.53
2010-05-16,55.04
2010-05-17,27.99
2010-05-18,20.93
2010-05-19,52.04
2010-05-20,81.54
2010-05-21,53.37
2010-05-22,28.95
2010-05-23,39.64
2010-05-24,115.98
2010-05-25,49.84
2010-05-26,69.26
2010-05-27,34.61
2010-05-28,67.13
2010-05-29,69.89
2010-05-30,25.56
2010-05-31,43.57
2010-06-01,25.67
2010-06-02,24.14
2010-06-03,37.23
2010-06-04,37.86
2010-06-05,20.54
2010-06-06,25.34
2010-06-07,39.61
2010-06-08,109.47
2010-06-09,73.8
2010-06-10,26.33
2010-06-11,25.83
2010-06-12,30.84
2010-06-13,50.75
2010-06-14,70.24
2010-06-15,156.14
2010-06-16,96.73
2010-06-17,54.38
2010-06-18,6.62
2010-06-19,10.41
2010-06-20,24.44
2010-06-21,30.41
2010-06-22,39.25
2010-06-23,43.84
2010-06-24,40.88
2010-06-25,25.58
2010-06-26,51.07
2010-06-27,42.53
2010-06-28,64.61
2010-06-29,58.34
2010-06-30,63.45
2010-07-01,75.32
2010-07-02,28.4
2010-07-03,122.31
2010-07-04,55.2
2010-07-05,28.59
2010-07-06,106.25
2010-07-07,20.94
2010-07-08,51.03
2010-07-09,7.4
2010-07-10,129.67
2010-07-11,63.9
2010-07-12,63.64
2010-07-13,25.31
2010-07-14,48.42
2010-07-15,44.23
2010-07-16,27.99
2010-07-17,33.7
2010-07-18,44.98
2010-07-19,63.31
2010-07-20,76.19
2010-07-21,99.69
2010-07-22,33.41
2010-07-23,14.39
2010-07-24,76.64
2010-07-25,77.28
2010-07-26,203.2
2010-07-27,117.63
2010-07-28,44.56
2010-07-29,11.02
2010-07-30,7.0
2010-07-31,97.47
2010-08-01,155.18
2010-08-02,86.54
2010-08-03,58.82
2010-08-04,67.03
2010-08-05,148.69
2010-08-06,27.36
2010-08-07,108.32
2010-08-08,26.11
2010-08-09,32.63
2010-08-10,40.07
2010-08-11,127.25
2010-08-12,73.29
2010-08-13,229.84
2010-08-14,100.68
2010-08-15,79.81
2010-08-16,105.11
2010-08-17,17.48
2010-08-18,13.99
2010-08-19,39.11
2010-08-20,14.44
2010-08-21,206.46
2010-08-22,58.87
2010-08-23,34.86
2010-08-24,35.88
2010-08-25,47.22
2010-08-26,126.97
2010-08-27,70.33
2010-08-28,91.36
2010-08-29,114.26
2010-08-30,34.95
2010-08-31,206.04
2010-09-01,155.84
2010-09-02,16.58
2010-09-03,13.51
2010-09-04,87.83
2010-09-05,43.11
2010-09-06,77.26
2010-09-07,98.53
2010-09-08,13.45
2010-09-09,16.06
2010-09-10,33.5
2010-09-11,65.74
2010-09-12,33.04
2010-09-13,86.84
2010-09-14,62.37
2010-09-15,31.25
2010-09-16,32.26
2010-09-17,20.1
2010-09-18,66.59
2010-09-19,67.27
2010-09-20,123.81
2010-09-21,89.56
2010-09-22,13.18
2010-09-23,5.33
2010-09-24,19.92
2010-09-25,94.74
2010-09-26,33.09
2010-09-27,10.96
2010-09-28,66.77
2010-09-29,37.85
2010-09-30,30.93
2010-10-01,13.5
2010-10-02,28.31
2010-10-03,16.26
2010-10-04,43.26
2010-10-05,50.67
2010-10-06,19.25
2010-10-07,59.59
2010-10-08,44.07
2010-10-09,18.08
2010-10-10,47.96
2010-10-11,41.88
2010-10-12,47.72
2010-10-13,274.39
2010-10-14,211.55
2010-10-15,18.73
2010-10-16,35.25
2010-10-17,62.99
2010-10-18,50.38
2010-10-19,7.73
2010-10-20,6.09
2010-10-21,9.66
2010-10-22,12.44
2010-10-23,89.9
2010-10-24,15.67
2010-10-25,50.03
2010-10-26,7.48
2010-10-27,24.18
2010-10-28,28.74
2010-10-29,185.41
2010-10-30,78.7
2010-10-31,46.53
2010-11-01,121.49
2010-11-02,37.91
2010-11-03,115.83
2010-11-04,30.33
2010-11-05,31.75
2010-11-06,80.4
2010-11-07,7.83
2010-11-08,50.36
2010-11-09,30.92
2010-11-10,17.66
2010-11-11,21.16
2010-11-12,19.63
2010-11-13,46.26
2010-11-14,111.42
2010-11-15,83.38
2010-11-16,39.47
2010-11-17,6.32
2010-11-18,15.62
2010-11-19,19.38
2010-11-20,57.59
2010-11-21,24.38
2010-11-22,20.33
2010-11-23,7.94
2010-11-24,17.87
2010-11-25,7.47
2010-11-26,40.38
2010-11-27,66.77
2010-11-28,53.05
2010-11-29,65.67
2010-11-30,16.52
2010-12-01,25.59
2010-12-02,10.9
2010-12-03,20.01
2010-12-04,29.25
2010-12-05,17.03
2010-12-06,31.67
2010-12-07,24.67
2010-12-08,31.26
2010-12-09,31.41
2010-12-10,13.56
2010-12-11,100.24
2010-12-12,51.24
2010-12-13,64.87
2010-12-14,8.08
2010-12-15,18.84
2010-12-16,10.59
2010-12-17,6.76
2010-12-18,30.47
2010-12-19,8.71
2010-12-20,21.51
2010-12-21,24.89
2010-12-22,12.82
2010-12-23,11.64
2010-12-24,35.57
2010-12-25,103.68
2010-12-26,20.17
2010-12-27,23.75
2010-12-28,46.34
2010-12-29,35.07
2010-12-30,82.76
2010-12-31,87.88
2011-01-01,296.77
2011-01-02,85.31
2011-01-03,21.97
2011-01-04,33.85
2011-01-05,6.18
2011-01-06,5.41
2011-01-07,6.64
2011-01-08,39.36
2011-01-09,42.02
2011-01-10,10.42
2011-01-11,7.89
2011-01-12,37.62
2011-01-13,10.8
2011-01-14,13.0
2011-01-15,9.79
2011-01-16,8.38
2011-01-17,21.68
2011-01-18,16.26
2011-01-19,30.14
2011-01-20,25.95
2011-01-21,32.62
2011-01-22,29.92
2011-01-23,8.31
2011-01-24,31.52
2011-01-25,7.95
2011-01-26,29.48
2011-01-27,5.14
2011-01-28,30.94
2011-01-29,39.06
2011-01-30,127.25
2011-01-31,29.94
2011-02-01,30.36
2011-02-02,35.66
2011-02-03,5.17
2011-02-04,6.38
2011-02-05,19.19
2011-02-06,56.19
2011-02-07,10.21
2011-02-08,22.99
2011-02-09,11.49
2011-02-10,40.19
2011-02-11,6.26
2011-02-12,38.94
2011-02-13,88.51
2011-02-14,30.44
2011-02-15,23.19
2011-02-16,45.74
2011-02-17,14.88
2011-02-18,12.48
2011-02-19,65.76
2011-02-20,56.51
2011-02-21,31.41
2011-02-22,40.86
2011-02-23,34.44
2011-02-24,20.21
2011-02-25,12.45
2011-02-26,247.01
2011-02-27,39.84
2011-02-28,50.61
2011-03-01,30.21
2011-03-02,11.3
2011-03-03,9.95
2011-03-04,18.25
2011-03-05,18.47
2011-03-06,15.63
2011-03-07,50.03
2011-03-08,69.06
2011-03-09,22.71
2011-03-10,24.73
2011-03-11,88.27
2011-03-12,38.98
2011-03-13,72.57
2011-03-14,311.62
2011-03-15,142.85
2011-03-16,52.44
2011-03-17,19.87
2011-03-18,12.72
2011-03-19,168.93
2011-03-20,137.09
2011-03-21,31.08
2011-03-22,55.85
2011-03-23,39.77
2011-03-24,14.91
2011-03-25,63.32
2011-03-26,59.15
2011-03-27,48.28
2011-03-28,10.4
2011-03-29,55.96
2011-03-30,17.38
2011-03-31,125.02
2011-04-01,12.36
2011-04-02,9.87
2011-04-03,8.1
2011-04-04,10.07
2011-04-05,15.49
2011-04-06,11.05
2011-04-07,9.74
2011-04-08,6.16
2011-04-09,67.26
2011-04-10,16.01
2011-04-11,10.11
2011-04-12,7.72
2011-04-13,34.24
2011-04-14,137.38
2011-04-15,18.42
2011-04-16,214.03
2011-04-17,41.28
2011-04-18,29.53
2011-04-19,23.18
2011-04-20,11.83
2011-04-21,129.68
2011-04-22,36.91
2011-04-23,60.51
2011-04-24,33.22
2011-04-25,10.36
2011-04-26,30.6
2011-04-27,17.79
2011-04-28,9.77
2011-04-29,12.17
2011-04-30,104.46
2011-05-01,87.81
2011-05-02,10.05
2011-05-03,7.54
2011-05-04,17.17
2011-05-05,120.83
2011-05-06,12.21
2011-05-07,106.73
2011-05-08,88.66
2011-05-09,10.14
2011-05-10,7.67
2011-05-11,46.94
2011-05-12,4.96
2011-05-13,24.29
2011-05-14,105.1
2011-05-15,8.08
2011-05-16,30.41
2011-05-17,45.98
2011-05-18,35.84
2011-05-19,30.12
2011-05-20,37.24
2011-05-21,57.48
2011-05-22,48.87
2011-05-23,29.91
2011-05-24,30.28
2011-05-25,24.22
2011-05-26,15.22
2011-05-27,6.36
2011-05-28,30.81
2011-05-29,8.52
2011-05-30,15.01
2011-05-31,18.75
2011-06-01,31.19
2011-06-02,52.63
2011-06-03,58.21
2011-06-04,61.66
2011-06-05,67.02
2011-06-06,10.41
2011-06-07,32.67
2011-06-08,12.32
2011-06-09,144.67
2011-06-10,26.23
2011-06-11,114.4
2011-06-12,42.59
2011-06-13,44.2
2011-06-14,73.63
2011-06-15,81.82
2011-06-16,48.04
2011-06-17,13.24
2011-06-18,31.78
2011-06-19,84.6
2011-06-20,43.21
